EV EV S10 0 1 it3 IN PEve SC3
TD CM S5 2 1 it3 IN PEve SCC
TD CM S6 1 1 it3 IN PEve SCC
TD CM S7 1 1 it3 IN PEve SCC
TD TD S4 2 1 it3 IN PEve SCC
TD TD S5 3 1 it3 IN PEve SCC
TD TD S5 4 1 it3 IN PEve SCC
TD TD S7 3 1 it3 IN PEve SCC
TD TP S5 4 5 it3 IN PEve TR
TD TP S6 3 1 it3 IN PEve TR
TD TP S6 3 5 it3 IN PEve TR
TD TP S7 3 5 it3 IN PEve TR
TD TP S9 3 5 it3 IN PEve TR
TD TQ S4 4 1 it3 IN PEve SCC
TD TQ S9 3 1 it3 IN PEve SCC
