CM CM S47 0 5 it3 Info1 ABic Amphi
TDx TMx S36 1 1 it3 Info1x PVil IG
TDx TMx S37 1 16 it3 Info1x PVil IN
TDy TMy S36 1 5 it3 Info1y PVil IG
TDy TMy S37 1 12 it3 Info1y PVil IN
TPa TPa S38 1 5 it3 Info1a PVil TR
TPa TPa S39 1 5 it3 Info1a PVil IG
TPa TPa S40 1 1 it3 Info1a PVil IG
TPa TPa S41 1 1 it3 Info1a PVil TR
TPa PIXa S47 2 12 it3 Info1a ABic IN
TPa PIXa S48 2 12 it3 Info1a ABic IN
TPa PIXa S49 2 12 it3 Info1a ABic IN
TPb TPb S38 1 16 it3 Info1b PVil TR
TPb TPb S39 1 16 it3 Info1b PVil IG
TPb TPb S40 1 12 it3 Info1b PVil IG
TPb TPb S41 1 12 it3 Info1b PVil TR
TPb PIXb S47 4 12 it3 Info1b ABic IN
TPb PIXb S48 4 12 it3 Info1b ABic IN
TPb PIXb S49 0 5 it3 Info1b ABic IN
TPc TPc S38 1 12 it3 Info1c PVil TR
TPc TPc S39 1 1 it3 Info1c PVil IG
TPc TPc S40 1 16 it3 Info1c PVil IG
TPc TPc S41 1 16 it3 Info1c PVil TR
TPc PIXc S47 2 5 it3 Info1c ABic IN
TPc PIXc S48 2 5 it3 Info1c ABic IN
TPc PIXc S49 2 5 it3 Info1c ABic IN
TPd TPd S38 1 1 it3 Info1d PVil TR
TPd TPd S39 1 12 it3 Info1d PVil IG
TPd TPd S40 1 5 it3 Info1d PVil IG
TPd TPd S41 1 5 it3 Info1d PVil TR
TPd PIXd S47 4 5 it3 Info1d ABic IN
TPd PIXd S48 4 5 it3 Info1d ABic IN
TPd PIXd S49 0 12 it3 Info1d ABic IN
