EV EV S9 1 1 it3 IN PEve SCC
TD CM S4 2 1 it3 IN PEve TD13
TD CM S5 2 5 it3 IN PEve SCC
TD CM S6 2 5 it3 IN PEve SCC
TD TD S4 0 5 it3 IN PEve SCC
TD TD S4 3 5 it3 IN PEve TD13
TD TD S6 3 1 it3 IN PEve TD13
TD TD S5 0 1 it3 IN PEve SCC
TD TP S5 0 5 it3 IN PEve TR
TD TP S5 3 12 it3 IN PEve TR
TD TP S5 3 16 it3 IN PEve TR
TD TP S6 3 5 it3 IN PEve TR
TD TP S8 3 5 it3 IN PEve TR
TD TQ S4 1 5 it3 IN PEve SCC
TD TQ S8 3 1 it3 IN PEve TD13
