CM CM S4 2 1 it3 Info1 PEve Amphi
TDx TDx S12 2 5 it3 Info1x PEve SC3
TDy TDy S12 2 1 it3 Info1y PEve SC3
TPa TPpea S4 4 12 it3 Info1a OCas IG
TPa TPpea S12 2 16 it3 Info1a OCas IG
TPa TPpea S12 4 12 it3 Info1a OCas IG
TPa TPpea S13 0 12 it3 Info1a OCas IG
TPb TPpeb S4 4 12 it3 Info1b PEve Mul
TPb TPpeb S12 2 16 it3 Info1b PEve Mul
TPb TPpeb S12 4 12 it3 Info1b PEve Mul
TPb TPpeb S13 0 12 it3 Info1b PEve Mul
TPc TPpec S4 4 16 it3 Info1c PEve Mul
TPc TPpec S12 2 12 it3 Info1c PEve Mul
TPc TPpec S12 4 5 it3 Info1c PEve Mul
TPc TPpec S13 0 16 it3 Info1c PEve Mul
TPd TPped S4 4 16 it3 Info1d OCas IG
TPd TPped S12 2 12 it3 Info1d OCas IG
TPd TPped S12 4 1 it3 Info1d OCas IG
TPd TPped S13 0 16 it3 Info1d OCas IG
